,0,1,2,3,4
0,Car,"Outside, urban or manmade",Motor vehicle (road),Motorcycle,Vehicle
1,"Outside, urban or manmade",Vehicle,Motor vehicle (road),Motorcycle,Speech
2,"Outside, rural or natural",Animal,Wild animals,Snake,Speech
3,Horse,Clip-clop,"Outside, urban or manmade",Vehicle,Speech
4,Singing,Crowd,"Outside, urban or manmade",Speech,Music
5,Siren,"Motorboat, speedboat","Boat, Water vehicle",Vehicle,Speech
6,"Inside, large room or hall",Motor vehicle (road),"Inside, public space",Music,Speech
7,Speech,Bus,Car,Vehicle,Motor vehicle (road)
8,Music,"Inside, large room or hall",Bus,"Inside, public space",Speech
9,Noise,Chatter,"Outside, urban or manmade","Inside, public space",Speech
10,Crowd,Vehicle,"Outside, urban or manmade","Inside, public space",Speech
11,Motor vehicle (road),Vehicle,Bus,"Inside, public space",Speech
12,"Outside, urban or manmade",Vehicle,Bus,"Inside, public space",Speech
13,Vehicle,Run,"Outside, urban or manmade","Inside, public space",Speech
14,"Outside, urban or manmade",Noise,"Inside, large room or hall","Inside, public space",Speech
15,Shuffle,Chatter,"Inside, large room or hall","Inside, public space",Speech
16,Chatter,Crowd,"Inside, large room or hall","Inside, public space",Speech
17,Choir,Chatter,"Inside, large room or hall","Inside, public space",Speech
18,Choir,"Inside, public space",Crowd,"Inside, large room or hall",Speech
19,Bus,"Outside, urban or manmade",Vehicle,"Inside, public space",Speech
20,"Race car, auto racing",Car passing by,Car,Motor vehicle (road),Vehicle
21,Bus,Car,Truck,Motor vehicle (road),Vehicle
22,Bus,Truck,Car,Motor vehicle (road),Vehicle
23,Car,Motor vehicle (road),Bus,Vehicle,Speech
24,Truck,Motor vehicle (road),Bus,Vehicle,Speech
25,Engine,Music,Car,Motor vehicle (road),Vehicle
26,"Outside, urban or manmade",Car,Motor vehicle (road),Vehicle,Speech
27,Bus,"Outside, urban or manmade",Vehicle,"Inside, public space",Speech
28,Vehicle,Motor vehicle (road),"Inside, large room or hall","Inside, public space",Speech
29,"Race car, auto racing",Speech,Car,Motor vehicle (road),Vehicle
30,Music,"Inside, public space",Vehicle,Bus,Speech
31,"Inside, large room or hall","Outside, urban or manmade",Clip-clop,"Inside, public space",Speech
32,"Outside, urban or manmade",Vehicle,Motor vehicle (road),Bus,Speech
33,Alarm,"Inside, large room or hall","Inside, small room",Buzzer,Speech
34,Aircraft,Radio,Noise,Buzzer,Speech
35,"Boat, Water vehicle","Motorboat, speedboat",Vehicle,Buzzer,Speech
36,Bus,Car,Motor vehicle (road),Vehicle,Speech
37,"Race car, auto racing",Car,Motor vehicle (road),Vehicle,Speech
38,Car passing by,"Race car, auto racing",Motor vehicle (road),Car,Vehicle
39,Car,Bus,Motor vehicle (road),Vehicle,Speech
40,"Boat, Water vehicle",Motor vehicle (road),Music,Vehicle,Speech
41,Chatter,Crowd,"Outside, urban or manmade","Inside, public space",Speech
42,Vehicle,"Inside, large room or hall",Bus,"Inside, public space",Speech
43,Noise,"Inside, public space",Bus,Vehicle,Speech
44,Bus,"Inside, large room or hall",Chatter,"Inside, public space",Speech
45,Noise,"Outside, urban or manmade","Hubbub, speech noise, speech babble",Bus,Speech
46,Bus,Motor vehicle (road),Vehicle,"Outside, urban or manmade",Speech
47,Car,"Outside, urban or manmade",Motor vehicle (road),Vehicle,Speech
48,"Outside, urban or manmade",Noise,Bus,"Hubbub, speech noise, speech babble",Speech
49,"Outside, urban or manmade",Noise,"Inside, public space",Chatter,Speech
50,Noise,"Outside, urban or manmade",Chatter,"Inside, public space",Speech
51,"Inside, large room or hall",Noise,"Inside, public space",Chatter,Speech
52,"Inside, large room or hall",Noise,"Inside, public space",Chatter,Speech
53,Horse,Clip-clop,"Outside, urban or manmade",Animal,Speech
54,"Inside, public space",Vehicle,Chatter,"Outside, urban or manmade",Speech
55,Noise,Crowd,"Inside, public space","Outside, urban or manmade",Speech
56,Conversation,Chatter,"Inside, large room or hall","Inside, public space",Speech
57,"Narration, monologue","Inside, large room or hall","Outside, urban or manmade","Inside, public space",Speech
58,Vocal music,Singing,Choir,Speech,Music
59,"Outside, urban or manmade",Yodeling,Singing,Speech,Music
60,Crowd,"Inside, large room or hall","Inside, public space",Chatter,Speech
61,"Narration, monologue","Inside, large room or hall",Conversation,"Inside, public space",Speech
62,"Narration, monologue","Inside, large room or hall","Inside, public space",Conversation,Speech
63,"Inside, public space",Noise,"Outside, urban or manmade",Chatter,Speech
64,Noise,"Inside, public space",Chatter,"Outside, urban or manmade",Speech
65,Noise,Chatter,"Outside, urban or manmade","Inside, public space",Speech
66,"Inside, public space",Noise,Chatter,"Outside, urban or manmade",Speech
67,"Inside, public space",Music,"Inside, large room or hall","Narration, monologue",Speech
